s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 3.6037411E+001, 2.9687480E+000,-4.5593495E-001,-2.5679332E+000,-6.8854382E-003,-3.3379362E-004, 0.0000000E+000, 0.0000000E+000,-5.5605077E-002,-6.2339325E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 3.7011402E+001, 3.0129969E+000,-4.8106352E-001,-2.5433947E+000,-7.2648253E-003,-3.3266893E-004, 0.0000000E+000, 0.0000000E+000,-2.5409036E-004,-1.9058834E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 3.8036663E+001, 2.9719801E+000,-4.5873922E-001,-2.5110452E+000,-1.0135508E-002,-3.3616006E-004, 0.0000000E+000, 0.0000000E+000,-1.1221216E-002,-8.2760617E-003, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 3.9038139E+001, 3.0022023E+000,-4.6367052E-001,-2.1419055E+000,-1.0594206E-002,-3.3714573E-004, 0.0000000E+000, 0.0000000E+000, 3.9265012E-001, 3.8569493E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.0004375E+001, 3.0086135E+000,-4.6869078E-001,-2.6526766E+000,-7.6823893E-003,-3.3727051E-004, 0.0000000E+000, 0.0000000E+000,-1.4123168E-001,-1.2077351E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.1019745E+001, 2.9807606E+000,-4.5908180E-001,-2.5693016E+000,-8.4234333E-003,-3.2981440E-004, 0.0000000E+000, 0.0000000E+000,-6.7744421E-002,-5.6376073E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.2010616E+001, 2.9899052E+000,-4.6457756E-001,-2.4320146E+000,-8.4301684E-003,-3.3076909E-004, 0.0000000E+000, 0.0000000E+000, 9.2627467E-002, 8.4552170E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.3044712E+001, 3.0126683E+000,-4.6656830E-001,-2.4350169E+000,-7.4557242E-003,-3.3311194E-004, 0.0000000E+000, 0.0000000E+000, 1.1063492E-001, 1.0329422E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.4015133E+001, 3.0162201E+000,-4.6736191E-001,-2.7406826E+000,-8.9782159E-003,-3.3770454E-004, 0.0000000E+000, 0.0000000E+000,-2.1064884E-001,-2.0114034E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.5034607E+001, 3.0153042E+000,-4.5258578E-001,-2.7337672E+000,-7.5337220E-003,-3.3567843E-004, 0.0000000E+000, 0.0000000E+000,-1.9035694E-001,-1.7891827E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.6042454E+001, 2.9985311E+000,-4.5180710E-001,-2.5288736E+000,-6.2177018E-003,-3.3445031E-004, 0.0000000E+000, 0.0000000E+000, 6.7984560E-004, 1.1298319E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.7035259E+001, 2.9829762E+000,-4.5200350E-001,-2.4619956E+000,-7.4499343E-003,-3.3830834E-004, 0.0000000E+000, 0.0000000E+000, 2.3915994E-002, 6.1188850E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.8028065E+001, 2.9851927E+000,-4.5463463E-001,-2.3882812E+000,-7.1746044E-003,-3.4017756E-004, 0.0000000E+000, 0.0000000E+000, 1.2797575E-001, 1.3476211E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 4.9020866E+001, 3.0006703E+000,-4.5863421E-001,-2.4219663E+000,-6.5549798E-003,-3.3696087E-004, 0.0000000E+000, 0.0000000E+000, 1.3355338E-001, 1.1317786E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.0021622E+001, 3.0237817E+000,-4.7444385E-001,-2.6201254E+000,-9.4770461E-003,-3.3463289E-004, 0.0000000E+000, 0.0000000E+000,-7.8201746E-002,-8.0599240E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.1028591E+001, 3.0036382E+000,-4.5241796E-001,-2.7302261E+000,-9.6690610E-003,-3.3454420E-004, 0.0000000E+000, 0.0000000E+000,-2.1428934E-001,-1.8900947E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.2040401E+001, 2.9931391E+000,-4.5324934E-001,-2.5924190E+000,-1.0115485E-002,-3.3620908E-004, 0.0000000E+000, 0.0000000E+000,-7.2343043E-002,-6.2981028E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 5.3003288E+001, 2.9992387E+000,-4.5380698E-001,-2.3264244E+000,-9.2669903E-003,-3.3707787E-004, 0.0000000E+000, 0.0000000E+000, 2.0308753E-001, 2.0940320E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
